age,job,marital,education,housing,loan,contact,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
26,services,single,high.school,yes,no,cellular,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
37,blue-collar,married,basic.6y,yes,no,cellular,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
30,technician,single,university.degree,no,no,cellular,3,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
58,retired,married,university.degree,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
49,self-employed,divorced,university.degree,yes,no,cellular,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
34,entrepreneur,married,university.degree,no,no,cellular,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
35,admin.,single,university.degree,yes,yes,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42,technician,married,professional.course,yes,no,cellular,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
58,retired,married,professional.course,no,no,telephone,8,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
51,admin.,married,university.degree,no,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
66,retired,unknown,basic.9y,yes,no,cellular,2,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,no
42,admin.,single,university.degree,yes,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,yes
26,admin.,single,university.degree,no,no,cellular,1,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,yes
29,entrepreneur,divorced,basic.9y,yes,no,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
43,management,married,university.degree,unknown,unknown,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
28,services,single,high.school,no,no,cellular,4,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
28,self-employed,single,university.degree,unknown,unknown,cellular,1,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,no
36,technician,married,professional.course,no,no,telephone,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
44,self-employed,single,professional.course,yes,no,cellular,5,999,1,failure,-1.8,92.893,-46.2,1.354,5099.1,yes
28,admin.,single,high.school,no,no,cellular,2,999,0,nonexistent,-1.8,92.843,-50.0,1.531,5099.1,yes
29,technician,single,professional.course,yes,no,cellular,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
34,admin.,divorced,university.degree,no,no,telephone,1,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,yes
51,retired,married,basic.9y,yes,no,cellular,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
28,student,single,university.degree,no,no,cellular,4,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
38,blue-collar,married,basic.9y,yes,no,cellular,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
43,blue-collar,married,basic.9y,no,yes,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
56,retired,divorced,high.school,yes,no,cellular,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
29,technician,married,university.degree,yes,yes,cellular,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
53,admin.,married,university.degree,no,no,cellular,5,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
49,blue-collar,married,basic.4y,yes,yes,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
